"","Residuals","Model"
"1",-2.13112879479188,"GLM"
"2",-1.60626340520847,"GLM"
"3",-22.5062276890204,"GLM"
"4",-9.74901661269173,"GLM"
"5",-42.004508078462,"GLM"
"6",-1.23630823993702,"GLM"
"7",-23.0017670250359,"GLM"
"8",-13.3342446165074,"GLM"
"9",-18.9720219346707,"GLM"
"10",-1.67826561179174,"GLM"
"11",-11.6656179147566,"GLM"
"12",-5.03009077692854,"GLM"
"13",-22.1268321739063,"GLM"
"14",-1.4963189964137,"GLM"
"15",-9.38874244692366,"GLM"
"16",-0.773901481936743,"GLM"
"17",-16.2744833818824,"GLM"
"18",-6.20840964406061,"GLM"
"19",-12.4647441775323,"GLM"
"20",-9.56875425118823,"GLM"
"21",-16.1530090350458,"GLM"
"22",-8.74719969726277,"GLM"
"23",-5.02267882758813,"GLM"
"24",-2.37081699708731,"GLM"
"25",-13.2166006464934,"GLM"
"26",-9.63703346149381,"GLM"
"27",-12.7654802234267,"GLM"
"28",-5.69931855511397,"GLM"
"29",-10.4898684973014,"GLM"
"30",-6.12822908718868,"GLM"
"31",-16.9830360016512,"GLM"
"32",-11.8749526753105,"GLM"
"33",-15.655867316572,"GLM"
"34",-16.0634515285877,"GLM"
"35",-23.0919886522443,"GLM"
"36",-15.1626620505604,"GLM"
"37",-25.4084309905571,"GLM"
"38",-9.31088584351512,"GLM"
"39",-18.4902939902033,"GLM"
"40",-8.68904763382834,"GLM"
"41",-11.1277489397031,"GLM"
"42",-6.01586610676118,"GLM"
"43",-9.69784468545457,"GLM"
"44",-4.8972122369282,"GLM"
"45",-8.85891498695375,"GLM"
"46",-2.72990366803815,"GLM"
"47",-4.20797447159682,"GLM"
"48",-2.00777585766933,"GLM"
"49",-9.66746428865979,"GLM"
"50",-6.34940140937494,"GLM"
"51",-20.9950958700881,"GLM"
"52",-11.0037380461462,"GLM"
"53",-13.1149615264001,"GLM"
"54",-11.6046653237965,"GLM"
"55",-21.631948135269,"GLM"
"56",-10.8626480694534,"GLM"
"57",-0.551084169570197,"GLM"
"58",-1.56763177306857,"GLM"
"59",-13.8944964957465,"GLM"
"60",-14.6203309401677,"GLM"
"61",-1.19622897638893,"GLM"
"62",-9.15974972254192,"GLM"
"63",-7.5361841016295,"GLM"
"64",-2.51712536258781,"GLM"
"65",-11.2842757691408,"GLM"
"66",-8.43388537024484,"GLM"
"67",-16.2876896205438,"GLM"
"68",-13.0268517720482,"GLM"
"69",-6.84143216609274,"GLM"
"70",-2.74214734683819,"GLM"
"71",-15.7954404388379,"GLM"
"72",-12.0813975785767,"GLM"
"73",-33.3809065416745,"GLM"
"74",-20.4620956122811,"GLM"
"75",-3.02252994891149,"GLM"
"76",0.285156494279827,"GLM"
"77",-11.092412062425,"GLM"
"78",-13.3581680858758,"GLM"
"79",-22.3070102825844,"GLM"
"80",-15.785528970981,"GLM"
"81",-14.3221908653882,"GLM"
"82",-22.042793394518,"GLM"
"83",-6.94104361221041,"GLM"
"84",-5.99473528941748,"GLM"
"85",-23.1353623301498,"GLM"
"86",-11.9088204504638,"GLM"
"87",-36.0672345986324,"GLM"
"88",-15.5408147179237,"GLM"
"89",-13.9250960308862,"GLM"
"90",-12.8556802463846,"GLM"
"91",-18.6215955579479,"GLM"
"92",-18.5068355936379,"GLM"
"93",-9.17325718759043,"GLM"
"94",-7.55871498358679,"GLM"
"95",-7.48608612247349,"GLM"
"96",-0.389184532361341,"GLM"
"97",-13.9027796898223,"GLM"
"98",-8.83547000963906,"GLM"
"99",-17.6595357373215,"GLM"
"100",-11.7944624484972,"GLM"
"101",-5.81103061141555,"GLM"
"102",-1.53017731511066,"GLM"
"103",3.10455462156863,"Baseline"
"104",10.7205298215686,"Baseline"
"105",9.47794852156863,"Baseline"
"106",7.99494752156863,"Baseline"
"107",15.0984721215686,"Baseline"
"108",-5.80603797843137,"Baseline"
"109",8.07206192156863,"Baseline"
"110",7.10250322156863,"Baseline"
"111",11.8835247215686,"Baseline"
"112",3.83285132156863,"Baseline"
"113",9.27917962156863,"Baseline"
"114",5.25547922156863,"Baseline"
"115",6.03759772156863,"Baseline"
"116",-2.77756117843137,"Baseline"
"117",11.1782766215686,"Baseline"
"118",7.63594072156863,"Baseline"
"119",4.53745932156863,"Baseline"
"120",-3.88347227843137,"Baseline"
"121",-1.45265137843137,"Baseline"
"122",1.16534192156863,"Baseline"
"123",8.11501012156863,"Baseline"
"124",8.13653802156863,"Baseline"
"125",23.0707261215686,"Baseline"
"126",22.7579456215686,"Baseline"
"127",10.7652334215686,"Baseline"
"128",9.47932132156863,"Baseline"
"129",9.65338162156863,"Baseline"
"130",11.3960635215686,"Baseline"
"131",12.7770708215686,"Baseline"
"132",12.7128112215686,"Baseline"
"133",12.1787760215686,"Baseline"
"134",13.9930791215686,"Baseline"
"135",6.16921872156863,"Baseline"
"136",14.7210897215686,"Baseline"
"137",0.853697921568628,"Baseline"
"138",2.70189562156863,"Baseline"
"139",13.3773878215686,"Baseline"
"140",8.42372212156863,"Baseline"
"141",5.59194412156863,"Baseline"
"142",4.14731032156863,"Baseline"
"143",14.0091387215686,"Baseline"
"144",12.8867316215686,"Baseline"
"145",16.6845695215686,"Baseline"
"146",14.0276757215686,"Baseline"
"147",15.6836886215686,"Baseline"
"148",12.8699906215686,"Baseline"
"149",12.7138509215686,"Baseline"
"150",12.1515041215686,"Baseline"
"151",17.8679908215686,"Baseline"
"152",19.2482804215686,"Baseline"
"153",12.5540902215686,"Baseline"
"154",6.66440812156863,"Baseline"
"155",9.35842452156863,"Baseline"
"156",10.5614005215686,"Baseline"
"157",-1.37319397843137,"Baseline"
"158",2.73759362156863,"Baseline"
"159",10.7689180215686,"Baseline"
"160",16.3740112215686,"Baseline"
"161",13.7457699215686,"Baseline"
"162",12.2318331215686,"Baseline"
"163",-1.05465487843137,"Baseline"
"164",6.23681052156863,"Baseline"
"165",-8.42362657843137,"Baseline"
"166",-11.1095793784314,"Baseline"
"167",11.0228449215686,"Baseline"
"168",10.9070238215686,"Baseline"
"169",14.4932369215686,"Baseline"
"170",13.7882633215686,"Baseline"
"171",-9.39337257843137,"Baseline"
"172",-11.5611724784314,"Baseline"
"173",9.19262482156863,"Baseline"
"174",9.94668502156863,"Baseline"
"175",6.30623532156863,"Baseline"
"176",8.25577842156863,"Baseline"
"177",14.3929231215686,"Baseline"
"178",17.4378870215686,"Baseline"
"179",6.19382992156863,"Baseline"
"180",6.05657442156863,"Baseline"
"181",-6.51718967843137,"Baseline"
"182",-1.47371807843137,"Baseline"
"183",-19.5375103784314,"Baseline"
"184",-7.92850887843137,"Baseline"
"185",10.9221942215686,"Baseline"
"186",8.08009832156863,"Baseline"
"187",10.9315920215686,"Baseline"
"188",6.55750102156863,"Baseline"
"189",11.0715057215686,"Baseline"
"190",0.269478821568629,"Baseline"
"191",3.20715592156863,"Baseline"
"192",6.74966732156863,"Baseline"
"193",3.13638482156863,"Baseline"
"194",6.62767812156863,"Baseline"
"195",9.36162802156863,"Baseline"
"196",10.9413262215686,"Baseline"
"197",13.4642327215686,"Baseline"
"198",15.6591796215686,"Baseline"
"199",13.9913001215686,"Baseline"
"200",14.1851317215686,"Baseline"
"201",10.6734822215686,"Baseline"
"202",11.4307543215686,"Baseline"
"203",8.24905052156863,"Baseline"
"204",12.4699044215686,"Baseline"
