State,65_and_over,White,Black,American_Indian,Asian,Native_Hawaiian_Pacific_Islander,Other,Majority_Dem,Majority_Rep
AL,0.17,0.68,0.27,0.01,0.01,0,0.01,0,1
AK,0.11,0.65,0.03,0.15,0.06,0.01,0.02,0,1
AZ,0.17,0.77,0.05,0.05,0.03,0,0.07,1,0
AR,0.17,0.77,0.15,0.01,0.02,0,0.03,0,1
CA,0.14,0.6,0.06,0.01,0.15,0,0.14,1,0
CO,0.14,0.84,0.04,0.01,0.03,0,0.04,1,0
CT,0.17,0.76,0.11,0,0.05,0,0.05,1,0
DE,0.18,0.69,0.22,0,0.04,0,0.02,1,0
DC,0.12,0.41,0.46,0,0.04,0,0.05,1,0
FL,0.2,0.75,0.16,0,0.03,0,0.03,0,1
GA,0.14,0.59,0.32,0,0.04,0,0.03,1,0
HI,0.18,0.25,0.02,0,0.38,0.1,0.01,1,0
ID,0.15,0.9,0.01,0.01,0.01,0,0.04,0,1
IL,0.15,0.72,0.14,0,0.06,0,0.06,1,0
IN,0.15,0.83,0.09,0,0.02,0,0.02,0,1
IA,0.17,0.9,0.04,0,0.02,0,0.01,0,1
KS,0.15,0.84,0.06,0.01,0.03,0,0.03,0,1
KY,0.16,0.87,0.08,0,0.02,0,0.01,0,1
LA,0.15,0.62,0.32,0.01,0.02,0,0.01,0,1
ME,0.2,0.94,0.01,0.01,0.01,0,0,1,0
MD,0.15,0.56,0.3,0,0.06,0,0.05,1,0
MA,0.16,0.78,0.08,0,0.07,0,0.04,1,0
MI,0.17,0.78,0.14,0.01,0.03,0,0.01,1,0
MN,0.15,0.83,0.06,0.01,0.05,0,0.02,1,0
MS,0.15,0.58,0.38,0.01,0.01,0,0.01,0,1
MO,0.17,0.82,0.12,0,0.02,0,0.01,0,1
MT,0.18,0.89,0.01,0.06,0.01,0,0.01,0,1
NE,0.15,0.87,0.05,0.01,0.02,0,0.02,0,1
NV,0.15,0.66,0.09,0.01,0.08,0.01,0.1,1,0
NH,0.18,0.93,0.02,0,0.03,0,0.01,1,0
NJ,0.16,0.68,0.14,0,0.1,0,0.06,1,0
NM,0.17,0.75,0.02,0.1,0.02,0,0.09,1,0
NY,0.16,0.64,0.16,0,0.08,0,0.09,1,0
NC,0.16,0.69,0.21,0.01,0.03,0,0.03,0,1
ND,0.15,0.87,0.03,0.05,0.02,0,0.01,0,1
OH,0.17,0.81,0.12,0,0.02,0,0.01,0,1
OK,0.15,0.72,0.07,0.08,0.02,0,0.03,0,1
OR,0.17,0.84,0.02,0.01,0.04,0,0.03,1,0
PA,0.18,0.81,0.11,0,0.03,0,0.02,1,0
RI,0.17,0.81,0.07,0.01,0.03,0,0.06,1,0
SC,0.17,0.67,0.27,0,0.02,0,0.02,0,1
SD,0.16,0.84,0.02,0.09,0.02,0,0.01,0,1
TN,0.16,0.78,0.17,0,0.02,0,0.01,0,1
TX,0.12,0.74,0.12,0.01,0.05,0,0.06,0,1
UT,0.11,0.86,0.01,0.01,0.02,0.01,0.05,0,1
VT,0.19,0.94,0.01,0,0.02,0,0,1,0
VA,0.15,0.68,0.19,0,0.06,0,0.03,1,0
WA,0.15,0.75,0.04,0.01,0.09,0.01,0.05,1,0
WV,0.19,0.93,0.04,0,0.01,0,0,0,1
WI,0.17,0.85,0.06,0.01,0.03,0,0.02,1,0
WY,0.16,0.91,0.01,0.02,0.01,0,0.02,0,1
